date_administered,new_doses_administered,new_first_dose_recipients,new_second_dose_recipients,cumulative_doses_administered,cumulative_first_dose_recipients,cumulative_second_dose_recipients,data_as_of,data_updated_at,data_loaded_at
2022/05/01,0,0,0,0,0,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/02,0,0,0,0,0,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/03,0,0,0,0,0,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/04,0,0,0,0,0,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/05,1,1,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/06,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/07,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/08,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/09,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/10,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/11,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/12,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/13,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/14,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/15,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/16,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/17,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/18,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/19,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/20,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/21,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/22,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/23,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/24,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/25,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/26,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/27,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/28,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
2022/05/29,0,0,0,1,1,0,01/01/2023 06:24:08 AM,01/01/2023 07:30:01 AM,01/01/2023 07:45:04 AM
