DATE,NEW_CASES,CUML_CASES
2022-04-01,0,0
2022-04-02,0,0
2022-04-03,0,0
2022-04-04,0,0
2022-04-05,0,0
2022-04-06,0,0
2022-04-07,0,0
2022-04-08,0,0
2022-04-09,0,0
2022-04-10,0,0
2022-04-11,0,0
2022-04-12,0,0
2022-04-13,0,0
2022-04-14,0,0
2022-04-15,0,0
2022-04-16,0,0
2022-04-17,0,0
2022-04-18,0,0
2022-04-19,0,0
2022-04-20,0,0
2022-04-21,0,0
2022-04-22,0,0
2022-04-23,0,0
2022-04-24,0,0
2022-04-25,0,0
2022-04-26,0,0
2022-04-27,0,0
2022-04-28,0,0
2022-04-29,0,0
2022-04-30,0,0
2022-05-01,0,0
2022-05-02,0,0
2022-05-03,0,0
2022-05-04,0,0
2022-05-05,0,0
2022-05-06,0,0
2022-05-07,0,0
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,0,0
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,0,0
2022-05-18,0,0
2022-05-19,0,0
2022-05-20,0,0
2022-05-21,0,0
2022-05-22,0,0
2022-05-23,0,0
2022-05-24,0,0
2022-05-25,0,0
2022-05-26,0,0
2022-05-27,0,0
2022-05-28,0,0
2022-05-29,1,1
2022-05-30,1,2
2022-05-31,0,2
2022-06-01,1,3
2022-06-02,1,4
2022-06-03,0,4
2022-06-04,0,4
2022-06-05,2,6
2022-06-06,1,7
2022-06-07,2,9
2022-06-08,1,10
2022-06-09,0,10
2022-06-10,2,12
2022-06-11,2,14
2022-06-12,0,14
2022-06-13,1,15
2022-06-14,1,16
2022-06-15,1,17
2022-06-16,2,19
2022-06-17,7,26
2022-06-18,0,26
2022-06-19,3,29
2022-06-20,2,31
2022-06-21,3,34
2022-06-22,2,36
2022-06-23,6,42
2022-06-24,4,46
2022-06-25,6,52
2022-06-26,6,58
2022-06-27,11,69
2022-06-28,11,80
2022-06-29,5,85
2022-06-30,4,89
2022-07-01,9,98
2022-07-02,12,110
2022-07-03,7,117
2022-07-04,11,128
2022-07-05,11,139
2022-07-06,16,155
2022-07-07,12,167
2022-07-08,12,179
2022-07-09,10,189
2022-07-10,9,198
2022-07-11,11,209
2022-07-12,12,221
2022-07-13,12,233
2022-07-14,14,247
2022-07-15,13,260
2022-07-16,9,269
2022-07-17,6,275
2022-07-18,11,286
2022-07-19,14,300
2022-07-20,13,313
2022-07-21,10,323
2022-07-22,16,339
2022-07-23,13,352
2022-07-24,9,361
2022-07-25,26,387
2022-07-26,21,408
2022-07-27,31,439
2022-07-28,26,465
2022-07-29,13,478
2022-07-30,20,498
2022-07-31,6,504
2022-08-01,23,527
2022-08-02,12,539
2022-08-03,12,551
2022-08-04,20,571
2022-08-05,14,585
2022-08-06,4,589
2022-08-07,6,595
2022-08-08,21,616
2022-08-09,16,632
2022-08-10,12,644
2022-08-11,7,651
2022-08-12,10,661
2022-08-13,9,670
2022-08-14,3,673
2022-08-15,7,680
2022-08-16,8,688
2022-08-17,9,697
2022-08-18,10,707
2022-08-19,4,711
2022-08-20,8,719
2022-08-21,3,722
2022-08-22,5,727
2022-08-23,4,731
2022-08-24,10,741
2022-08-25,4,745
2022-08-26,3,748
2022-08-27,6,754
2022-08-28,3,757
2022-08-29,4,761
2022-08-30,1,762
2022-08-31,2,764
2022-09-01,7,771
2022-09-02,3,774
2022-09-03,1,775
2022-09-04,2,777
2022-09-05,0,777
2022-09-06,1,778
2022-09-07,4,782
2022-09-08,2,784
2022-09-09,4,788
2022-09-10,0,788
2022-09-11,0,788
2022-09-12,5,793
2022-09-13,1,794
2022-09-14,1,795
2022-09-15,2,797
2022-09-16,0,797
2022-09-17,3,800
2022-09-18,1,801
2022-09-19,2,803
2022-09-20,1,804
2022-09-21,1,805
2022-09-22,0,805
2022-09-23,0,805
2022-09-24,3,808
2022-09-25,1,809
2022-09-26,1,810
2022-09-27,1,811
2022-09-28,3,814
2022-09-29,3,817
2022-09-30,2,819
2022-10-01,3,822
2022-10-02,1,823
2022-10-03,1,824
2022-10-04,1,825
2022-10-05,1,826
2022-10-06,0,826
2022-10-07,1,827
2022-10-08,1,828
2022-10-09,0,828
2022-10-10,0,828
2022-10-11,0,828
2022-10-12,1,829
2022-10-13,0,829
2022-10-14,1,830
2022-10-15,0,830
2022-10-16,0,830
2022-10-17,0,830
2022-10-18,1,831
2022-10-19,1,832
2022-10-20,1,833
2022-10-21,0,833
2022-10-22,0,833
2022-10-23,0,833
2022-10-24,0,833
2022-10-25,0,833
2022-10-26,0,833
2022-10-27,0,833
2022-10-28,0,833
2022-10-29,0,833
2022-10-30,0,833
2022-10-31,0,833
2022-11-01,0,833
2022-11-02,2,835
2022-11-03,0,835
2022-11-04,1,836
2022-11-05,0,836
2022-11-06,0,836
2022-11-07,1,837
2022-11-08,0,837
2022-11-09,0,837
2022-11-10,0,837
2022-11-11,0,837
2022-11-12,0,837
2022-11-13,0,837
2022-11-14,0,837
2022-11-15,0,837
2022-11-16,0,837
2022-11-17,1,838
2022-11-18,0,838
2022-11-19,0,838
2022-11-20,0,838
2022-11-21,1,839
2022-11-22,0,839
2022-11-23,1,840
2022-11-24,0,840
2022-11-25,0,840
2022-11-26,0,840
2022-11-27,0,840
2022-11-28,0,840
2022-11-29,0,840
2022-11-30,0,840
2022-12-01,0,840
2022-12-02,0,840
2022-12-03,0,840
2022-12-04,0,840
2022-12-05,0,840
2022-12-06,0,840
2022-12-07,0,840
2022-12-08,0,840
2022-12-09,0,840
2022-12-10,0,840
2022-12-11,0,840
2022-12-12,0,840
2022-12-13,1,841
2022-12-14,0,841
2022-12-15,0,841
2022-12-16,1,842
2022-12-17,0,842
2022-12-18,0,842
2022-12-19,0,842
2022-12-20,0,842
2022-12-21,0,842
2022-12-22,0,842
2022-12-23,0,842
2022-12-24,0,842
2022-12-25,0,842
2022-12-26,0,842
2022-12-27,0,842
2022-12-28,0,842
2022-12-29,0,842
2022-12-30,0,842
2022-12-31,0,842
2023-01-01,0,842
2023-01-02,0,842
2023-01-03,0,842
2023-01-04,0,842
2023-01-05,0,842
2023-01-06,0,842
2023-01-07,0,842
2023-01-08,0,842
2023-01-09,0,842
2023-01-10,1,843
2023-01-11,0,843
2023-01-12,0,843
2023-01-13,0,843
2023-01-14,0,843
2023-01-15,0,843
2023-01-16,0,843
2023-01-17,0,843
2023-01-18,0,843
2023-01-19,0,843
2023-01-20,1,844
2023-01-21,0,844
2023-01-22,0,844
2023-01-23,0,844
2023-01-24,0,844
2023-01-25,0,844
2023-01-26,0,844
2023-01-27,0,844
2023-01-28,0,844
2023-01-29,0,844
2023-01-30,0,844
2023-01-31,0,844
2023-02-01,0,844
2023-02-02,0,844
2023-02-03,0,844
2023-02-04,0,844
2023-02-05,0,844
2023-02-06,0,844
2023-02-07,0,844
2023-02-08,0,844
2023-02-09,0,844
2023-02-10,0,844
2023-02-11,0,844
2023-02-12,0,844
2023-02-13,0,844
2023-02-14,0,844
2023-02-15,0,844
2023-02-16,0,844
2023-02-17,0,844
2023-02-18,0,844
2023-02-19,0,844
2023-02-20,0,844
2023-02-21,0,844
2023-02-22,0,844
2023-02-23,0,844
2023-02-24,0,844
2023-02-25,0,844
2023-02-26,0,844
2023-02-27,0,844
2023-02-28,0,844
2023-03-01,0,844
2023-03-02,0,844
2023-03-03,0,844
2023-03-04,0,844
2023-03-05,0,844
2023-03-06,0,844
2023-03-07,0,844
2023-03-08,0,844
2023-03-09,0,844
2023-03-10,0,844
2023-03-11,0,844
2023-03-12,0,844
2023-03-13,0,844
2023-03-14,0,844
2023-03-15,0,844
2023-03-16,0,844
2023-03-17,0,844
2023-03-18,0,844
2023-03-19,0,844
2023-03-20,0,844
2023-03-21,0,844
2023-03-22,0,844
2023-03-23,0,844
2023-03-24,0,844
2023-03-25,0,844
